Period,Food and beverages,Alcohol and tobacco,Clothing and footwear,Housing,"Furnishings, household equipment and services",Health,Transport,Communication,Recreation & culture,Education,Financial services and insurance,All group,WPI
2019-03-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-06-01,99.63302752293578,101.0645375914837,101.6146393972013,99.83552631578948,100.67895247332687,101.76082171680116,103.3718689788054,98.89434889434888,100.5708848715509,100.0,100.26269702276707,100.61349693251533,100.45731707317076
2019-09-01,100.0,103.06054557551563,103.12163616792249,100.16447368421053,101.74587778855482,101.54071900220103,103.08285163776493,97.78869778869777,102.09324452901998,100.07358351729212,100.43782837127846,101.13935144609991,101.29573170731709
2019-12-01,101.28440366972478,106.18762475049898,102.79870828848223,100.2467105263158,101.45489815712901,101.24724871606749,104.62427745664739,96.8058968058968,103.04471931493815,100.14716703458424,100.87565674255691,101.84049079754602,101.7530487804878
2020-03-01,103.21100917431193,107.91749833666,102.04520990312163,100.57565789473684,102.23084384093116,102.93470286133528,102.60115606936418,96.56019656019654,101.33206470028544,102.72259013980867,101.57618213660244,102.19106047326906,102.21036585365854
2020-06-01,103.76146788990826,109.58083832335328,102.15285252960172,99.91776315789474,90.78564500484966,102.71460014673512,95.66473988439307,95.33169533169531,100.28544243577547,98.96983075791023,101.92644483362523,100.2629272567923,102.21036585365854
2020-09-01,103.39449541284405,111.37724550898203,102.58342303552206,99.91776315789474,101.64888457807955,102.56786500366837,98.94026974951831,94.59459459459458,101.42721217887727,101.03016924208978,102.0140105078809,101.84049079754602,102.66768292682926
2020-12-01,103.57798165137615,116.03459747172322,101.50699677072119,99.3421052631579,105.14064015518916,103.88848129126924,99.8073217726397,94.22604422604422,103.04471931493815,102.20750551876378,102.1015761821366,102.71691498685365,103.20121951219514
2021-03-01,103.94495412844036,116.4337990685296,102.04520990312163,99.42434210526316,104.94665373423861,106.01614086573734,102.98651252408479,94.71744471744469,102.85442435775451,102.64900662251655,102.1891418563923,103.33041191936898,103.73475609756098
2021-06-01,104.4954128440367,116.8995342648037,102.47578040904197,99.75328947368422,106.1105722599418,107.63022743947172,105.8766859344894,94.10319410319408,102.75927687916271,102.64900662251655,102.53940455341505,104.11919368974584,104.03963414634147
2021-09-01,104.77064220183487,116.30073186959416,98.60064585575887,101.48026315789475,107.75945683802132,107.63022743947172,109.24855491329481,93.6117936117936,103.71075166508088,102.72259013980867,103.15236427320488,104.90797546012271,104.95426829268293
2021-12-01,105.50458715596329,117.2987358616101,101.18406889128093,103.28947368421053,108.92337536372455,107.33675715333821,112.33140655105973,93.73464373464373,105.23311132254996,102.79617365710078,104.3782837127846,106.31025416301489,105.5640243902439
2022-03-01,108.44036697247708,118.56287425149699,100.53821313240043,106.08552631578947,110.08729388942776,109.75788701393982,117.0520231213873,93.98034398034397,105.89914367269269,107.43193524650478,104.90367775831872,108.58895705521473,106.1737804878049
2022-06-01,110.64220183486238,119.49434464404523,104.09041980624328,108.7171052631579,112.80310378273522,110.19809244314011,119.74951830443159,94.10319410319408,107.42150333016176,107.43193524650478,106.04203152364273,110.5170902716915,106.78353658536585
2022-09-01,114.22018348623853,120.95808383233533,103.8751345532831,112.17105263157896,116.00387972841901,110.49156272927365,119.26782273603082,95.45454545454545,108.84871550903902,107.43193524650478,107.4430823117338,112.53286590709905,108.30792682926831
2022-12-01,115.22935779816513,122.42182302062541,106.56620021528525,114.3092105263158,118.04073714839961,111.37197358767426,121.29094412331408,94.96314496314496,114.7478591817317,107.5055187637969,109.6322241681261,114.63628396143734,109.14634146341464
2023-03-01,117.06422018348623,123.81902860944776,103.76749192680302,116.5296052631579,117.45877788554802,115.62729273661041,122.0616570327553,95.0859950859951,115.03330161750715,113.24503311258279,111.73380035026268,116.21384750219106,109.984756097561
2023-06-01,118.99082568807337,125.08316699933467,104.41334768568353,117.51644736842107,119.88360814742968,115.55392516507703,121.96531791907515,94.71744471744469,114.7478591817317,113.0242825607064,115.06129597197898,117.17791411042944,110.67073170731707
2023-09-01,119.72477064220183,126.87957418496339,104.84391819160388,120.06578947368422,118.91367604267703,116.43433602347761,125.91522157996147,96.68304668304668,114.93815413891532,112.58278145695364,116.63747810858143,118.58019281332166,112.72865853658539
2023-12-01,120.36697247706421,130.47238855622086,105.38213132400432,121.29934210526316,117.74975751697383,117.09464416727803,125.72254335260115,97.05159705159704,115.3187440532826,112.50919793966152,118.56392294220666,119.28133216476775,113.79573170731709
2024-03-01,121.46788990825688,131.6034597471723,104.19806243272336,122.20394736842107,117.65276430649855,120.39618488628025,126.39691714836223,96.8058968058968,115.22359657469077,119.1317144959529,120.92819614711033,120.42068361086766,114.48170731707317
