date,ethereum,binancecoin,solana,ripple,dogecoin
2015-12-31T00:00:00,116861298.57777408,0.0,0.0,244229651.3981658,48602610.786378734
2016-12-31T00:00:00,5988943459.8933325,0.0,0.0,518607384.0,60992457.21474118
2017-12-31T00:00:00,150973953743.7232,1287009601.813982,0.0,104013750848.0,3020140115.175879
2018-12-31T00:00:00,662640867105.0176,21076170105.551586,0.0,311114184307.83453,9701981052.66942
2019-12-31T00:00:00,2730347170062.3164,80229136190.08905,0.0,555393042008.3964,23170841528.06176
2020-12-31T00:00:00,4755115464233.431,123559054971.56409,3073173567.448382,1031364531932.3644,46960230637.24346
2021-12-31T00:00:00,11598017237665.852,1113050209792.185,565038441122.9711,2086590436554.268,1521663103312.502
2022-12-31T00:00:00,5372411434815.935,447732898853.943,496952809064.19995,1159792515753.8079,327196149608.74176
2023-12-31T00:00:00,3765243024136.683,241265391462.2161,333181337284.2984,455752574616.1041,219126507754.41235
2024-12-31T00:00:00,1674997311616.9377,167044801454.63126,335694364983.2089,139439957752.39145,136546427789.2104
